Day,Day_month,Month,Year,TSVALUE_UPDATED
18,18-Apr,Apr,1979,3
19,19-Apr,Apr,1979,0
20,20-Apr,Apr,1979,0
21,21-Apr,Apr,1979,0
22,22-Apr,Apr,1979,0
23,23-Apr,Apr,1979,0
24,24-Apr,Apr,1979,0
25,25-Apr,Apr,1979,0
26,26-Apr,Apr,1979,0
27,27-Apr,Apr,1979,0
28,28-Apr,Apr,1979,0
29,29-Apr,Apr,1979,0
30,30-Apr,Apr,1979,0
1,1-May,May,1979,3
2,2-May,May,1979,4
3,3-May,May,1979,12
4,4-May,May,1979,10
5,5-May,May,1979,0
6,6-May,May,1979,0
7,7-May,May,1979,0
8,8-May,May,1979,0
9,9-May,May,1979,0
10,10-May,May,1979,0
11,11-May,May,1979,0
12,12-May,May,1979,0
13,13-May,May,1979,0
14,14-May,May,1979,4
15,15-May,May,1979,7
16,16-May,May,1979,0
17,17-May,May,1979,6
18,18-May,May,1979,0
19,19-May,May,1979,0
20,20-May,May,1979,0
21,21-May,May,1979,0
22,22-May,May,1979,0
23,23-May,May,1979,0
24,24-May,May,1979,0
25,25-May,May,1979,0
26,26-May,May,1979,0
27,27-May,May,1979,0
28,28-May,May,1979,0
29,29-May,May,1979,0
30,30-May,May,1979,0
31,31-May,May,1979,0
1,1-Jun,Jun,1979,0
2,2-Jun,Jun,1979,0
3,3-Jun,Jun,1979,0
4,4-Jun,Jun,1979,0
5,5-Jun,Jun,1979,0
6,6-Jun,Jun,1979,0
7,7-Jun,Jun,1979,8
8,8-Jun,Jun,1979,9
9,9-Jun,Jun,1979,4
10,10-Jun,Jun,1979,45
11,11-Jun,Jun,1979,5
12,12-Jun,Jun,1979,0
13,13-Jun,Jun,1979,14
14,14-Jun,Jun,1979,0
15,15-Jun,Jun,1979,11
16,16-Jun,Jun,1979,17
17,17-Jun,Jun,1979,0
18,18-Jun,Jun,1979,0
19,19-Jun,Jun,1979,0
20,20-Jun,Jun,1979,1
21,21-Jun,Jun,1979,0
22,22-Jun,Jun,1979,1
23,23-Jun,Jun,1979,0
24,24-Jun,Jun,1979,0
25,25-Jun,Jun,1979,0
26,26-Jun,Jun,1979,2
27,27-Jun,Jun,1979,0
28,28-Jun,Jun,1979,22
29,29-Jun,Jun,1979,9
30,30-Jun,Jun,1979,22
1,1-Jul,Jul,1979,7
2,2-Jul,Jul,1979,8
3,3-Jul,Jul,1979,0
4,4-Jul,Jul,1979,0
5,5-Jul,Jul,1979,0
6,6-Jul,Jul,1979,0
7,7-Jul,Jul,1979,3
8,8-Jul,Jul,1979,0
9,9-Jul,Jul,1979,1
10,10-Jul,Jul,1979,8
11,11-Jul,Jul,1979,1
12,12-Jul,Jul,1979,3
13,13-Jul,Jul,1979,1
14,14-Jul,Jul,1979,17
15,15-Jul,Jul,1979,1
16,16-Jul,Jul,1979,0
17,17-Jul,Jul,1979,21
18,18-Jul,Jul,1979,0
19,19-Jul,Jul,1979,0
20,20-Jul,Jul,1979,21
21,21-Jul,Jul,1979,2
22,22-Jul,Jul,1979,0
23,23-Jul,Jul,1979,0
24,24-Jul,Jul,1979,0
25,25-Jul,Jul,1979,0
26,26-Jul,Jul,1979,0
27,27-Jul,Jul,1979,0
28,28-Jul,Jul,1979,0
29,29-Jul,Jul,1979,0
30,30-Jul,Jul,1979,0
31,31-Jul,Jul,1979,0
1,1-Aug,Aug,1979,0
2,2-Aug,Aug,1979,0
3,3-Aug,Aug,1979,0
4,4-Aug,Aug,1979,1
5,5-Aug,Aug,1979,0
6,6-Aug,Aug,1979,6
7,7-Aug,Aug,1979,0
8,8-Aug,Aug,1979,1
9,9-Aug,Aug,1979,2
10,10-Aug,Aug,1979,0
11,11-Aug,Aug,1979,0
12,12-Aug,Aug,1979,2
13,13-Aug,Aug,1979,2
14,14-Aug,Aug,1979,5
15,15-Aug,Aug,1979,61
16,16-Aug,Aug,1979,0
17,17-Aug,Aug,1979,6
18,18-Aug,Aug,1979,2
19,19-Aug,Aug,1979,11
20,20-Aug,Aug,1979,39
21,21-Aug,Aug,1979,17
22,22-Aug,Aug,1979,17
23,23-Aug,Aug,1979,0
24,24-Aug,Aug,1979,0
25,25-Aug,Aug,1979,1
26,26-Aug,Aug,1979,0
27,27-Aug,Aug,1979,1
28,28-Aug,Aug,1979,2
29,29-Aug,Aug,1979,9
30,30-Aug,Aug,1979,5
31,31-Aug,Aug,1979,1
1,1-Sep,Sep,1979,0
2,2-Sep,Sep,1979,0
3,3-Sep,Sep,1979,0
4,4-Sep,Sep,1979,1
5,5-Sep,Sep,1979,1
6,6-Sep,Sep,1979,0
7,7-Sep,Sep,1979,1
8,8-Sep,Sep,1979,1
9,9-Sep,Sep,1979,0
10,10-Sep,Sep,1979,15
11,11-Sep,Sep,1979,6
12,12-Sep,Sep,1979,21
13,13-Sep,Sep,1979,1
14,14-Sep,Sep,1979,1
15,15-Sep,Sep,1979,1
16,16-Sep,Sep,1979,0
17,17-Sep,Sep,1979,2
18,18-Sep,Sep,1979,0
19,19-Sep,Sep,1979,11
20,20-Sep,Sep,1979,0
21,21-Sep,Sep,1979,0
22,22-Sep,Sep,1979,2
23,23-Sep,Sep,1979,1
24,24-Sep,Sep,1979,3
25,25-Sep,Sep,1979,0
26,26-Sep,Sep,1979,0
27,27-Sep,Sep,1979,5
28,28-Sep,Sep,1979,8
29,29-Sep,Sep,1979,3
30,30-Sep,Sep,1979,0
1,1-Oct,Oct,1979,0
2,2-Oct,Oct,1979,0
3,3-Oct,Oct,1979,0
4,4-Oct,Oct,1979,1
5,5-Oct,Oct,1979,3
6,6-Oct,Oct,1979,3
7,7-Oct,Oct,1979,8
8,8-Oct,Oct,1979,0
9,9-Oct,Oct,1979,0
10,10-Oct,Oct,1979,0
11,11-Oct,Oct,1979,0
12,12-Oct,Oct,1979,0
13,13-Oct,Oct,1979,0
14,14-Oct,Oct,1979,0
15,15-Oct,Oct,1979,0
16,16-Oct,Oct,1979,0
17,17-Oct,Oct,1979,0
18,18-Oct,Oct,1979,0
19,19-Oct,Oct,1979,0
20,20-Oct,Oct,1979,0
21,21-Oct,Oct,1979,0
22,22-Oct,Oct,1979,0
23,23-Oct,Oct,1979,0
24,24-Oct,Oct,1979,0
25,25-Oct,Oct,1979,0
26,26-Oct,Oct,1979,0
27,27-Oct,Oct,1979,0
28,28-Oct,Oct,1979,0
29,29-Oct,Oct,1979,0
30,30-Oct,Oct,1979,0
31,31-Oct,Oct,1979,0
1,1-Nov,Nov,1979,0
2,2-Nov,Nov,1979,0
3,3-Nov,Nov,1979,0
4,4-Nov,Nov,1979,0
5,5-Nov,Nov,1979,0
6,6-Nov,Nov,1979,0
7,7-Nov,Nov,1979,0
8,8-Nov,Nov,1979,0
9,9-Nov,Nov,1979,0
10,10-Nov,Nov,1979,0
11,11-Nov,Nov,1979,0
12,12-Nov,Nov,1979,0
13,13-Nov,Nov,1979,0
14,14-Nov,Nov,1979,0
15,15-Nov,Nov,1979,0
16,16-Nov,Nov,1979,0
17,17-Nov,Nov,1979,0
18,18-Nov,Nov,1979,0
19,19-Nov,Nov,1979,0
20,20-Nov,Nov,1979,0
21,21-Nov,Nov,1979,4
22,22-Nov,Nov,1979,0
23,23-Nov,Nov,1979,0
24,24-Nov,Nov,1979,0
25,25-Nov,Nov,1979,0
26,26-Nov,Nov,1979,0
27,27-Nov,Nov,1979,0
28,28-Nov,Nov,1979,0
29,29-Nov,Nov,1979,2
30,30-Nov,Nov,1979,1
1,1-Dec,Dec,1979,12
2,2-Dec,Dec,1979,0
3,3-Dec,Dec,1979,0
4,4-Dec,Dec,1979,0
5,5-Dec,Dec,1979,0
6,6-Dec,Dec,1979,0
7,7-Dec,Dec,1979,0
8,8-Dec,Dec,1979,0
9,9-Dec,Dec,1979,0
10,10-Dec,Dec,1979,0
11,11-Dec,Dec,1979,0
12,12-Dec,Dec,1979,0
13,13-Dec,Dec,1979,0
14,14-Dec,Dec,1979,0
15,15-Dec,Dec,1979,0
16,16-Dec,Dec,1979,0
17,17-Dec,Dec,1979,0
18,18-Dec,Dec,1979,0
19,19-Dec,Dec,1979,0
20,20-Dec,Dec,1979,0
21,21-Dec,Dec,1979,0
22,22-Dec,Dec,1979,0
23,23-Dec,Dec,1979,0
24,24-Dec,Dec,1979,0
25,25-Dec,Dec,1979,0
26,26-Dec,Dec,1979,0
27,27-Dec,Dec,1979,0
28,28-Dec,Dec,1979,0
29,29-Dec,Dec,1979,0
30,30-Dec,Dec,1979,0
31,31-Dec,Dec,1979,0
1,1-Jan,Jan,1980,0
2,2-Jan,Jan,1980,0
3,3-Jan,Jan,1980,0
4,4-Jan,Jan,1980,0
5,5-Jan,Jan,1980,0
6,6-Jan,Jan,1980,0
7,7-Jan,Jan,1980,0
8,8-Jan,Jan,1980,0
9,9-Jan,Jan,1980,0
10,10-Jan,Jan,1980,0
11,11-Jan,Jan,1980,0
12,12-Jan,Jan,1980,0
13,13-Jan,Jan,1980,0
14,14-Jan,Jan,1980,0
15,15-Jan,Jan,1980,0
16,16-Jan,Jan,1980,0
17,17-Jan,Jan,1980,0
18,18-Jan,Jan,1980,0
19,19-Jan,Jan,1980,0
20,20-Jan,Jan,1980,0
21,21-Jan,Jan,1980,0
22,22-Jan,Jan,1980,0
23,23-Jan,Jan,1980,0
24,24-Jan,Jan,1980,0
25,25-Jan,Jan,1980,0
26,26-Jan,Jan,1980,0
27,27-Jan,Jan,1980,0
28,28-Jan,Jan,1980,0
29,29-Jan,Jan,1980,0
30,30-Jan,Jan,1980,0
31,31-Jan,Jan,1980,0
1,1-Feb,Feb,1980,0
2,2-Feb,Feb,1980,0
3,3-Feb,Feb,1980,0
4,4-Feb,Feb,1980,
5,5-Feb,Feb,1980,0
6,6-Feb,Feb,1980,5
7,7-Feb,Feb,1980,0
8,8-Feb,Feb,1980,0
9,9-Feb,Feb,1980,0
10,10-Feb,Feb,1980,0
11,11-Feb,Feb,1980,0
12,12-Feb,Feb,1980,0
13,13-Feb,Feb,1980,0
14,14-Feb,Feb,1980,0
15,15-Feb,Feb,1980,0
16,16-Feb,Feb,1980,0
17,17-Feb,Feb,1980,0
18,18-Feb,Feb,1980,0
19,19-Feb,Feb,1980,20
20,20-Feb,Feb,1980,0
21,21-Feb,Feb,1980,0
22,22-Feb,Feb,1980,0
23,23-Feb,Feb,1980,0
24,24-Feb,Feb,1980,0
25,25-Feb,Feb,1980,0
26,26-Feb,Feb,1980,0
27,27-Feb,Feb,1980,0
28,28-Feb,Feb,1980,0
29,29-Feb,Feb,1980,0
1,1-Mar,Mar,1980,1
2,2-Mar,Mar,1980,4
3,3-Mar,Mar,1980,0
4,4-Mar,Mar,1980,0
5,5-Mar,Mar,1980,8
6,6-Mar,Mar,1980,0
7,7-Mar,Mar,1980,0
8,8-Mar,Mar,1980,0
9,9-Mar,Mar,1980,0
10,10-Mar,Mar,1980,0
11,11-Mar,Mar,1980,0
12,12-Mar,Mar,1980,0
13,13-Mar,Mar,1980,0
14,14-Mar,Mar,1980,0
15,15-Mar,Mar,1980,0
16,16-Mar,Mar,1980,0
17,17-Mar,Mar,1980,0
18,18-Mar,Mar,1980,0
19,19-Mar,Mar,1980,0
20,20-Mar,Mar,1980,0
21,21-Mar,Mar,1980,0
22,22-Mar,Mar,1980,0
23,23-Mar,Mar,1980,0
24,24-Mar,Mar,1980,0
25,25-Mar,Mar,1980,0
26,26-Mar,Mar,1980,0
27,27-Mar,Mar,1980,0
28,28-Mar,Mar,1980,0
29,29-Mar,Mar,1980,0
30,30-Mar,Mar,1980,0
31,31-Mar,Mar,1980,0
1,1-Apr,Apr,1980,0
2,2-Apr,Apr,1980,0
3,3-Apr,Apr,1980,0
4,4-Apr,Apr,1980,0
5,5-Apr,Apr,1980,0
6,6-Apr,Apr,1980,0
7,7-Apr,Apr,1980,0
8,8-Apr,Apr,1980,0
9,9-Apr,Apr,1980,0
10,10-Apr,Apr,1980,0
11,11-Apr,Apr,1980,0
12,12-Apr,Apr,1980,0
13,13-Apr,Apr,1980,0
14,14-Apr,Apr,1980,0
15,15-Apr,Apr,1980,0
16,16-Apr,Apr,1980,0
17,17-Apr,Apr,1980,0
18,18-Apr,Apr,1980,0
19,19-Apr,Apr,1980,1
20,20-Apr,Apr,1980,0
21,21-Apr,Apr,1980,3
22,22-Apr,Apr,1980,0
23,23-Apr,Apr,1980,0
24,24-Apr,Apr,1980,0
25,25-Apr,Apr,1980,0
26,26-Apr,Apr,1980,0
27,27-Apr,Apr,1980,0
28,28-Apr,Apr,1980,0
29,29-Apr,Apr,1980,0
30,30-Apr,Apr,1980,0
1,1-May,May,1980,0
2,2-May,May,1980,0
3,3-May,May,1980,5
4,4-May,May,1980,0
5,5-May,May,1980,12
6,6-May,May,1980,11
7,7-May,May,1980,0
8,8-May,May,1980,7
9,9-May,May,1980,6
10,10-May,May,1980,7
11,11-May,May,1980,13
12,12-May,May,1980,6
13,13-May,May,1980,1
14,14-May,May,1980,0
15,15-May,May,1980,5
16,16-May,May,1980,0
17,17-May,May,1980,2
18,18-May,May,1980,7
19,19-May,May,1980,0
20,20-May,May,1980,0
21,21-May,May,1980,0
22,22-May,May,1980,0
23,23-May,May,1980,0
24,24-May,May,1980,0
25,25-May,May,1980,0
26,26-May,May,1980,0
27,27-May,May,1980,0
28,28-May,May,1980,20
29,29-May,May,1980,2
30,30-May,May,1980,2
31,31-May,May,1980,5
1,1-Jun,Jun,1980,0
2,2-Jun,Jun,1980,1
3,3-Jun,Jun,1980,1
4,4-Jun,Jun,1980,3
5,5-Jun,Jun,1980,0
6,6-Jun,Jun,1980,11
7,7-Jun,Jun,1980,9
8,8-Jun,Jun,1980,0
9,9-Jun,Jun,1980,0
10,10-Jun,Jun,1980,1
11,11-Jun,Jun,1980,1
12,12-Jun,Jun,1980,0
13,13-Jun,Jun,1980,0
14,14-Jun,Jun,1980,0
15,15-Jun,Jun,1980,0
16,16-Jun,Jun,1980,1
17,17-Jun,Jun,1980,9
18,18-Jun,Jun,1980,5
19,19-Jun,Jun,1980,1
20,20-Jun,Jun,1980,3
21,21-Jun,Jun,1980,1
22,22-Jun,Jun,1980,0
23,23-Jun,Jun,1980,0
24,24-Jun,Jun,1980,0
25,25-Jun,Jun,1980,0
26,26-Jun,Jun,1980,0
27,27-Jun,Jun,1980,1
28,28-Jun,Jun,1980,0
29,29-Jun,Jun,1980,0
30,30-Jun,Jun,1980,0
1,1-Jul,Jul,1980,0
2,2-Jul,Jul,1980,0
3,3-Jul,Jul,1980,3
4,4-Jul,Jul,1980,35
5,5-Jul,Jul,1980,7
6,6-Jul,Jul,1980,0
7,7-Jul,Jul,1980,1
8,8-Jul,Jul,1980,4
9,9-Jul,Jul,1980,0
10,10-Jul,Jul,1980,0
11,11-Jul,Jul,1980,0
12,12-Jul,Jul,1980,0
13,13-Jul,Jul,1980,0
14,14-Jul,Jul,1980,2
15,15-Jul,Jul,1980,20
16,16-Jul,Jul,1980,12
17,17-Jul,Jul,1980,5
18,18-Jul,Jul,1980,1
19,19-Jul,Jul,1980,9
20,20-Jul,Jul,1980,2
21,21-Jul,Jul,1980,3
22,22-Jul,Jul,1980,9
23,23-Jul,Jul,1980,1
24,24-Jul,Jul,1980,0
25,25-Jul,Jul,1980,6
26,26-Jul,Jul,1980,3
27,27-Jul,Jul,1980,0
28,28-Jul,Jul,1980,0
29,29-Jul,Jul,1980,0
30,30-Jul,Jul,1980,0
31,31-Jul,Jul,1980,3
1,1-Aug,Aug,1980,8
2,2-Aug,Aug,1980,0
3,3-Aug,Aug,1980,4
4,4-Aug,Aug,1980,8
5,5-Aug,Aug,1980,4
6,6-Aug,Aug,1980,2
7,7-Aug,Aug,1980,5
8,8-Aug,Aug,1980,1
9,9-Aug,Aug,1980,1
10,10-Aug,Aug,1980,2
11,11-Aug,Aug,1980,2
12,12-Aug,Aug,1980,2
13,13-Aug,Aug,1980,0
14,14-Aug,Aug,1980,1
15,15-Aug,Aug,1980,0
16,16-Aug,Aug,1980,2
17,17-Aug,Aug,1980,0
18,18-Aug,Aug,1980,0
19,19-Aug,Aug,1980,1
20,20-Aug,Aug,1980,10
21,21-Aug,Aug,1980,5
22,22-Aug,Aug,1980,3
23,23-Aug,Aug,1980,3
24,24-Aug,Aug,1980,10
25,25-Aug,Aug,1980,0
26,26-Aug,Aug,1980,1
27,27-Aug,Aug,1980,28
28,28-Aug,Aug,1980,6
29,29-Aug,Aug,1980,0
30,30-Aug,Aug,1980,22
31,31-Aug,Aug,1980,6
1,1-Sep,Sep,1980,0
2,2-Sep,Sep,1980,3
3,3-Sep,Sep,1980,6
4,4-Sep,Sep,1980,6
5,5-Sep,Sep,1980,0
6,6-Sep,Sep,1980,2
7,7-Sep,Sep,1980,0
8,8-Sep,Sep,1980,0
9,9-Sep,Sep,1980,4
10,10-Sep,Sep,1980,1
11,11-Sep,Sep,1980,0
12,12-Sep,Sep,1980,0
13,13-Sep,Sep,1980,0
14,14-Sep,Sep,1980,0
15,15-Sep,Sep,1980,0
16,16-Sep,Sep,1980,2
17,17-Sep,Sep,1980,2
18,18-Sep,Sep,1980,0
19,19-Sep,Sep,1980,0
20,20-Sep,Sep,1980,0
21,21-Sep,Sep,1980,0
22,22-Sep,Sep,1980,0
23,23-Sep,Sep,1980,14
24,24-Sep,Sep,1980,4
25,25-Sep,Sep,1980,0
26,26-Sep,Sep,1980,1
27,27-Sep,Sep,1980,0
28,28-Sep,Sep,1980,3
29,29-Sep,Sep,1980,0
30,30-Sep,Sep,1980,0
1,1-Oct,Oct,1980,0
2,2-Oct,Oct,1980,7
3,3-Oct,Oct,1980,0
4,4-Oct,Oct,1980,17
5,5-Oct,Oct,1980,0
6,6-Oct,Oct,1980,0
7,7-Oct,Oct,1980,3
8,8-Oct,Oct,1980,0
9,9-Oct,Oct,1980,0
10,10-Oct,Oct,1980,0
11,11-Oct,Oct,1980,0
12,12-Oct,Oct,1980,0
13,13-Oct,Oct,1980,0
14,14-Oct,Oct,1980,0
15,15-Oct,Oct,1980,0
16,16-Oct,Oct,1980,0
17,17-Oct,Oct,1980,0
18,18-Oct,Oct,1980,11
19,19-Oct,Oct,1980,14
20,20-Oct,Oct,1980,13
21,21-Oct,Oct,1980,13
22,22-Oct,Oct,1980,10
23,23-Oct,Oct,1980,0
24,24-Oct,Oct,1980,0
25,25-Oct,Oct,1980,0
26,26-Oct,Oct,1980,0
27,27-Oct,Oct,1980,0
28,28-Oct,Oct,1980,0
29,29-Oct,Oct,1980,0
30,30-Oct,Oct,1980,0
31,31-Oct,Oct,1980,0
1,1-Nov,Nov,1980,0
2,2-Nov,Nov,1980,0
3,3-Nov,Nov,1980,0
4,4-Nov,Nov,1980,0
5,5-Nov,Nov,1980,0
6,6-Nov,Nov,1980,0
7,7-Nov,Nov,1980,0
8,8-Nov,Nov,1980,0
9,9-Nov,Nov,1980,0
10,10-Nov,Nov,1980,0
11,11-Nov,Nov,1980,0
12,12-Nov,Nov,1980,0
13,13-Nov,Nov,1980,0
14,14-Nov,Nov,1980,0
15,15-Nov,Nov,1980,0
16,16-Nov,Nov,1980,0
17,17-Nov,Nov,1980,0
18,18-Nov,Nov,1980,0
19,19-Nov,Nov,1980,0
20,20-Nov,Nov,1980,0
21,21-Nov,Nov,1980,0
22,22-Nov,Nov,1980,0
23,23-Nov,Nov,1980,0
24,24-Nov,Nov,1980,0
25,25-Nov,Nov,1980,0
26,26-Nov,Nov,1980,0
27,27-Nov,Nov,1980,0
28,28-Nov,Nov,1980,0
29,29-Nov,Nov,1980,0
30,30-Nov,Nov,1980,0
1,1-Dec,Dec,1980,0
2,2-Dec,Dec,1980,0
3,3-Dec,Dec,1980,0
4,4-Dec,Dec,1980,0
5,5-Dec,Dec,1980,0
6,6-Dec,Dec,1980,0
7,7-Dec,Dec,1980,0
8,8-Dec,Dec,1980,0
9,9-Dec,Dec,1980,0
10,10-Dec,Dec,1980,0
11,11-Dec,Dec,1980,0
12,12-Dec,Dec,1980,0
13,13-Dec,Dec,1980,0
14,14-Dec,Dec,1980,0
15,15-Dec,Dec,1980,0
16,16-Dec,Dec,1980,0
17,17-Dec,Dec,1980,0
18,18-Dec,Dec,1980,0
19,19-Dec,Dec,1980,0
20,20-Dec,Dec,1980,0
21,21-Dec,Dec,1980,0
22,22-Dec,Dec,1980,0
23,23-Dec,Dec,1980,0
24,24-Dec,Dec,1980,0
25,25-Dec,Dec,1980,
26,26-Dec,Dec,1980,0
27,27-Dec,Dec,1980,0
28,28-Dec,Dec,1980,0
29,29-Dec,Dec,1980,0
30,30-Dec,Dec,1980,0
31,31-Dec,Dec,1980,0
1,1-Jan,Jan,1981,0
2,2-Jan,Jan,1981,0
3,3-Jan,Jan,1981,0
4,4-Jan,Jan,1981,0
5,5-Jan,Jan,1981,0
6,6-Jan,Jan,1981,0
7,7-Jan,Jan,1981,0
8,8-Jan,Jan,1981,0
9,9-Jan,Jan,1981,0
10,10-Jan,Jan,1981,0
11,11-Jan,Jan,1981,0
12,12-Jan,Jan,1981,0
13,13-Jan,Jan,1981,0
14,14-Jan,Jan,1981,0
15,15-Jan,Jan,1981,0
16,16-Jan,Jan,1981,0
17,17-Jan,Jan,1981,0
18,18-Jan,Jan,1981,0
19,19-Jan,Jan,1981,0
20,20-Jan,Jan,1981,0
21,21-Jan,Jan,1981,0
22,22-Jan,Jan,1981,0
23,23-Jan,Jan,1981,0
24,24-Jan,Jan,1981,0
25,25-Jan,Jan,1981,0
26,26-Jan,Jan,1981,0
27,27-Jan,Jan,1981,0
28,28-Jan,Jan,1981,0
29,29-Jan,Jan,1981,0
30,30-Jan,Jan,1981,0
31,31-Jan,Jan,1981,0
1,1-Feb,Feb,1981,0
2,2-Feb,Feb,1981,0
3,3-Feb,Feb,1981,0
4,4-Feb,Feb,1981,0
5,5-Feb,Feb,1981,0
6,6-Feb,Feb,1981,0
7,7-Feb,Feb,1981,0
8,8-Feb,Feb,1981,0
9,9-Feb,Feb,1981,0
10,10-Feb,Feb,1981,0
11,11-Feb,Feb,1981,2
12,12-Feb,Feb,1981,0
13,13-Feb,Feb,1981,0
14,14-Feb,Feb,1981,0
15,15-Feb,Feb,1981,0
16,16-Feb,Feb,1981,0
17,17-Feb,Feb,1981,0
18,18-Feb,Feb,1981,0
19,19-Feb,Feb,1981,0
20,20-Feb,Feb,1981,0
21,21-Feb,Feb,1981,0
22,22-Feb,Feb,1981,0
23,23-Feb,Feb,1981,0
24,24-Feb,Feb,1981,0
25,25-Feb,Feb,1981,0
26,26-Feb,Feb,1981,0
27,27-Feb,Feb,1981,0
28,28-Feb,Feb,1981,0
1,1-Mar,Mar,1981,4
2,2-Mar,Mar,1981,0
3,3-Mar,Mar,1981,0
4,4-Mar,Mar,1981,0
5,5-Mar,Mar,1981,0
6,6-Mar,Mar,1981,0
7,7-Mar,Mar,1981,0
8,8-Mar,Mar,1981,0
9,9-Mar,Mar,1981,0
10,10-Mar,Mar,1981,0
11,11-Mar,Mar,1981,0
12,12-Mar,Mar,1981,0
13,13-Mar,Mar,1981,0
14,14-Mar,Mar,1981,0
15,15-Mar,Mar,1981,0
16,16-Mar,Mar,1981,0
17,17-Mar,Mar,1981,0
18,18-Mar,Mar,1981,0
19,19-Mar,Mar,1981,0
20,20-Mar,Mar,1981,0
21,21-Mar,Mar,1981,0
22,22-Mar,Mar,1981,0
23,23-Mar,Mar,1981,0
24,24-Mar,Mar,1981,20
25,25-Mar,Mar,1981,42
26,26-Mar,Mar,1981,52
27,27-Mar,Mar,1981,0
28,28-Mar,Mar,1981,13
29,29-Mar,Mar,1981,0
30,30-Mar,Mar,1981,0
31,31-Mar,Mar,1981,0
1,1-Apr,Apr,1981,33
2,2-Apr,Apr,1981,21
3,3-Apr,Apr,1981,0
4,4-Apr,Apr,1981,0
5,5-Apr,Apr,1981,0
6,6-Apr,Apr,1981,0
7,7-Apr,Apr,1981,0
8,8-Apr,Apr,1981,0
9,9-Apr,Apr,1981,0
10,10-Apr,Apr,1981,0
11,11-Apr,Apr,1981,0
12,12-Apr,Apr,1981,0
13,13-Apr,Apr,1981,12
14,14-Apr,Apr,1981,5
15,15-Apr,Apr,1981,0
16,16-Apr,Apr,1981,5
17,17-Apr,Apr,1981,18
18,18-Apr,Apr,1981,0
19,19-Apr,Apr,1981,51
20,20-Apr,Apr,1981,0
21,21-Apr,Apr,1981,12
22,22-Apr,Apr,1981,0
23,23-Apr,Apr,1981,0
24,24-Apr,Apr,1981,0
25,25-Apr,Apr,1981,0
26,26-Apr,Apr,1981,0
27,27-Apr,Apr,1981,0
28,28-Apr,Apr,1981,0
29,29-Apr,Apr,1981,0
30,30-Apr,Apr,1981,0
1,1-May,May,1981,0
2,2-May,May,1981,0
3,3-May,May,1981,0
4,4-May,May,1981,0
5,5-May,May,1981,0
6,6-May,May,1981,0
7,7-May,May,1981,0
8,8-May,May,1981,0
9,9-May,May,1981,22
10,10-May,May,1981,0
11,11-May,May,1981,0
12,12-May,May,1981,0
13,13-May,May,1981,18
14,14-May,May,1981,0
15,15-May,May,1981,0
16,16-May,May,1981,18
17,17-May,May,1981,59
18,18-May,May,1981,48
19,19-May,May,1981,0
20,20-May,May,1981,0
21,21-May,May,1981,0
22,22-May,May,1981,0
23,23-May,May,1981,14
24,24-May,May,1981,0
25,25-May,May,1981,0
26,26-May,May,1981,0
27,27-May,May,1981,59
28,28-May,May,1981,9
29,29-May,May,1981,41
30,30-May,May,1981,120
31,31-May,May,1981,0
1,1-Jun,Jun,1981,10
2,2-Jun,Jun,1981,18
3,3-Jun,Jun,1981,0
4,4-Jun,Jun,1981,0
5,5-Jun,Jun,1981,0
6,6-Jun,Jun,1981,5
7,7-Jun,Jun,1981,8
8,8-Jun,Jun,1981,0
9,9-Jun,Jun,1981,0
10,10-Jun,Jun,1981,0
11,11-Jun,Jun,1981,0
12,12-Jun,Jun,1981,0
13,13-Jun,Jun,1981,0
14,14-Jun,Jun,1981,0
15,15-Jun,Jun,1981,40
16,16-Jun,Jun,1981,3
17,17-Jun,Jun,1981,8
18,18-Jun,Jun,1981,8
19,19-Jun,Jun,1981,20
20,20-Jun,Jun,1981,0
21,21-Jun,Jun,1981,15
22,22-Jun,Jun,1981,22
23,23-Jun,Jun,1981,79
24,24-Jun,Jun,1981,110
25,25-Jun,Jun,1981,4
26,26-Jun,Jun,1981,2
27,27-Jun,Jun,1981,13
28,28-Jun,Jun,1981,4
29,29-Jun,Jun,1981,17
30,30-Jun,Jun,1981,70
1,1-Jul,Jul,1981,25
2,2-Jul,Jul,1981,0
3,3-Jul,Jul,1981,30
4,4-Jul,Jul,1981,0
5,5-Jul,Jul,1981,0
6,6-Jul,Jul,1981,2
7,7-Jul,Jul,1981,0
8,8-Jul,Jul,1981,2
9,9-Jul,Jul,1981,3
10,10-Jul,Jul,1981,0
11,11-Jul,Jul,1981,0
12,12-Jul,Jul,1981,0
13,13-Jul,Jul,1981,30
14,14-Jul,Jul,1981,35
15,15-Jul,Jul,1981,25
16,16-Jul,Jul,1981,10
17,17-Jul,Jul,1981,0
18,18-Jul,Jul,1981,10
19,19-Jul,Jul,1981,20
20,20-Jul,Jul,1981,5
21,21-Jul,Jul,1981,0
22,22-Jul,Jul,1981,0
23,23-Jul,Jul,1981,0
24,24-Jul,Jul,1981,0
25,25-Jul,Jul,1981,0
26,26-Jul,Jul,1981,1
27,27-Jul,Jul,1981,12
28,28-Jul,Jul,1981,5
29,29-Jul,Jul,1981,35
30,30-Jul,Jul,1981,40
31,31-Jul,Jul,1981,0
1,1-Aug,Aug,1981,0
2,2-Aug,Aug,1981,2
3,3-Aug,Aug,1981,2
4,4-Aug,Aug,1981,1
5,5-Aug,Aug,1981,0
6,6-Aug,Aug,1981,0
7,7-Aug,Aug,1981,0
